date,etf_name,nav_value,已發行受益權單位總數,每受益權單位淨資產價值(元),台積電股數,台積電持股權重,聯電股數,聯電持股權重,奇鋐股數,奇鋐持股權重,欣興股數,欣興持股權重,台光電股數,台光電持股權重,日月光投控股數,日月光投控持股權重,金像電股數,金像電持股權重,台達電股數,台達電持股權重,智邦股數,智邦持股權重,緯穎股數,緯穎持股權重,群聯股數,群聯持股權重,華邦電股數,華邦電持股權重,旺矽股數,旺矽持股權重,信驊股數,信驊持股權重,國巨*股數,國巨*持股權重,貿聯-KY股數,貿聯-KY持股權重,旺宏股數,旺宏持股權重,南電股數,南電持股權重,世界股數,世界持股權重,臻鼎-KY股數,臻鼎-KY持股權重,健策股數,健策持股權重,嘉澤股數,嘉澤持股權重,國泰金股數,國泰金持股權重,致茂股數,致茂持股權重,穎崴股數,穎崴持股權重,鴻勁股數,鴻勁持股權重,高力股數,高力持股權重,力旺股數,力旺持股權重,健鼎股數,健鼎持股權重,勤誠股數,勤誠持股權重,辛耘股數,辛耘持股權重,台燿股數,台燿持股權重,華通股數,華通持股權重,創意股數,創意持股權重,聯亞股數,聯亞持股權重,金居股數,金居持股權重,中信金股數,中信金持股權重,文曄股數,文曄持股權重,頎邦股數,頎邦持股權重,譜瑞-KY股數,譜瑞-KY持股權重,順達股數,順達持股權重,中砂股數,中砂持股權重,聯發科股數,聯發科持股權重,光聖股數,光聖持股權重,華星光股數,華星光持股權重,穩懋股數,穩懋持股權重,富世達股數,富世達持股權重,強茂股數,強茂持股權重,上銀股數,上銀持股權重,全新股數,全新持股權重,京元電子股數,京元電子持股權重,精測股數,精測持股權重,欣銓股數,欣銓持股權重,萬潤股數,萬潤持股權重,高技股數,高技持股權重,漢唐股數,漢唐持股權重,大立光股數,大立光持股權重,華碩股數,華碩持股權重,南茂股數,南茂持股權重,亞德客-KY股數,亞德客-KY持股權重,台表科股數,台表科持股權重,矽力*-KY股數,矽力*-KY持股權重,精成科股數,精成科持股權重,新日興股數,新日興持股權重,優群股數,優群持股權重,中鋼股數,中鋼持股權重,東陽股數,東陽持股權重,世芯-KY股數,世芯-KY持股權重,富喬股數,富喬持股權重,美律股數,美律持股權重,鴻海股數,鴻海持股權重,景碩股數,景碩持股權重,南亞股數,南亞持股權重,環球晶股數,環球晶持股權重,雙鴻股數,雙鴻持股權重,台灣大股數,台灣大持股權重,台化股數,台化持股權重,亞翔股數,亞翔持股權重,南亞科股數,南亞科持股權重,聖暉*股數,聖暉*持股權重,台玻股數,台玻持股權重,川湖股數,川湖持股權重,玉山金股數,玉山金持股權重,帆宣股數,帆宣持股權重,同欣電股數,同欣電持股權重,廣達股數,廣達持股權重
2026-06-11,00403A 主動統一升級50,176502799352,17595519000,10.03,14200000,18.1%,68000000,4.82%,3250000,4.3%,8960000,4.34%,1350000,3.9%,12101000,3.73%,4700000,3.58%,2430000,2.97%,2100000,2.71%,790000,2.19%,350000,0.44%,36000000,3.19%,870000,3%,45000,0.45%,9900000,4.72%,1090000,1.33%,16350000,1.3%,1080000,0.49%,9911000,0.91%,5600000,1.68%,830000,1.7%,1240000,1.51%,,,840000,1.04%,165000,0.82%,279000,1.12%,1334000,0.86%,390000,0.67%,1000,0%,680000,0.55%,900000,0.4%,1520000,1.27%,,,430000,1%,690000,0.85%,1710000,0.52%,,,,,5600000,0.71%,900000,0.34%,,,340000,0.12%,1170000,2.71%,830000,0.86%,1000000,0.27%,957000,0.26%,570000,0.57%,1000,0%,1010000,0.18%,450000,0.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000,0.47%,1380000,0.48%,7000000,0.38%,1497000,0.67%,,,,,,,,,,,,,,,,,,,870000,0.25%,,,,
2026-06-10,00403A 主動統一升級50,172624126087,17231019000,10.02,14200000,18.55%,68000000,4.67%,3250000,4.44%,8960000,4.59%,1350000,3.86%,12101000,3.78%,4700000,3.87%,2430000,3.1%,2100000,2.88%,790000,2.32%,350000,0.44%,36000000,3.11%,870000,2.91%,45000,0.44%,9760000,4.63%,1090000,1.36%,16350000,1.28%,1080000,0.53%,9911000,0.88%,5492000,1.6%,830000,1.83%,1240000,1.56%,,,840000,1.08%,165000,0.78%,279000,1.11%,1334000,0.94%,390000,0.67%,1000,0%,680000,0.57%,900000,0.41%,1520000,1.32%,,,430000,1%,720000,0.94%,1710000,0.55%,,,,,5600000,0.73%,900000,0.35%,,,78000,0.03%,1170000,2.82%,830000,0.91%,1155000,0.34%,957000,0.26%,570000,0.58%,1000,0%,1010000,0.19%,450000,0.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000,0.49%,1380000,0.53%,5300000,0.29%,1497000,0.67%,,,,,,,,,,,,,,,,,,,870000,0.25%,,,,
2026-06-09,00403A 主動統一升級50,182641985605,17399019000,10.5,14200000,17.92%,68000000,4.75%,3250000,4.53%,8960000,4.75%,1350000,3.74%,12101000,3.77%,4700000,3.85%,2430000,3.21%,2100000,2.85%,790000,2.29%,350000,0.45%,36000000.0,3.08%,830000,2.67%,45000,0.44%,8760000,3.96%,1090000,1.29%,16350000,1.3%,1080000,0.54%,9911000,0.87%,5492000,1.64%,830000.0,1.79%,1240000,1.59%,,,840000,1.1%,165000,0.78%,279000.0,1.06%,1234000,0.9%,390000,0.67%,200000,0.05%,680000,0.56%,900000,0.43%,1420000,1.26%,,,430000,1.01%,720000,0.98%,1710000,0.57%,,,,,5600000,0.77%,900000,0.34%,,,78000,0.03%,1110000,2.72%,830000,0.95%,1200000,0.37%,957000,0.26%,570000,0.61%,1000.0,0%,1010000.0,0.19%,450000,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000.0,0.49%,1380000.0,0.54%,5300000.0,0.29%,1497000.0,0.66%,,,,,,,,,,,,,,,,,,,870000.0,0.25%,,,,
2026-06-08,00403A 主動統一升級50,177927489663,17509019000,10.16,14200000,18.32%,68000000,4.62%,3250000,4.69%,8960000,4.59%,1350000,3.62%,12101000,3.67%,4700000,3.59%,2250000,2.85%,2100000,2.86%,790000,2.34%,350000,0.44%,36000000.0,3.12%,780000,2.42%,45000,0.44%,8760000,3.7%,1090000,1.28%,16350000,1.32%,1080000,0.5%,9911000,0.87%,5492000,1.58%,830000.0,1.78%,1240000,1.6%,,,840000,1.16%,165000,0.78%,279000.0,1.1%,1200000,0.82%,390000,0.7%,1000000,0.27%,680000,0.53%,900000,0.41%,1300000,1.12%,,,430000,1.03%,720000,1.01%,1710000,0.56%,,,,,5600000,0.76%,900000,0.34%,,,78000,0.03%,1050000,2.4%,830000,0.92%,1200000,0.36%,957000,0.24%,570000,0.61%,1100000.0,0.09%,1010000.0,0.19%,450000,0.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000.0,0.48%,1380000.0,0.54%,5300000.0,0.29%,1497000.0,0.65%,,,,,,,,,,,,,,,,,,,870000.0,0.24%,,,,
2026-06-05,00403A 主動統一升級50,182540485961,17448019000,10.46,14200000,18.4%,68000000,4.9%,3250000,4.63%,8960000,4.58%,1350000,3.61%,12101000,3.83%,4700000,3.39%,2250000,2.83%,2060000,2.81%,790000,2.45%,350000,0.47%,36000000.0,3.19%,780000,2.46%,45000,0.43%,8760000,3.69%,1090000,1.31%,16350000,1.34%,1080000,0.5%,9911000,0.88%,5492000,1.52%,830000.0,1.65%,1240000,1.61%,,,840000,1.18%,165000,0.76%,279000.0,1.11%,1169000,0.72%,390000,0.73%,1000000,0.27%,680000,0.51%,900000,0.43%,1300000,1.15%,,,430000,1.04%,720000,1.05%,1710000,0.56%,,,,,5600000,0.83%,900000,0.36%,,,78000,0.03%,1050000,2.47%,830000,0.93%,1200000,0.39%,957000,0.25%,570000,0.61%,1100000.0,0.1%,1010000.0,0.19%,450000,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000.0,0.5%,1380000.0,0.54%,4300000.0,0.25%,1497000.0,0.67%,,,,,,,,,,,,,,,,,,,870000.0,0.24%,,,,
2026-06-04,00403A 主動統一升級50,186029615447,17528019000,10.61,14200000,18.21%,68000000,4.57%,3250000,4.73%,8960000,4.68%,1350000,3.51%,12101000,3.86%,4700000,3.41%,2250000,2.93%,2060000,2.78%,790000,2.37%,700000,0.97%,36000000.0,3.47%,740000,2.41%,45000,0.44%,8760000,3.5%,1090000,1.26%,16350000,1.38%,3550000,1.68%,9911000,0.87%,5492000,1.45%,830000.0,1.66%,1240000,1.6%,,,840000,1.18%,165000,0.77%,279000.0,1.11%,1169000,0.7%,390000,0.74%,1000000,0.28%,680000,0.52%,900000,0.42%,1200000,1.09%,,,430000,1.02%,720000,1%,1710000,0.52%,,,,,5000000,0.73%,900000,0.37%,,,78000,0.03%,1050000,2.5%,830000,0.96%,1200000,0.38%,957000,0.25%,570000,0.61%,1100000.0,0.09%,1010000.0,0.19%,450000,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000.0,0.5%,1380000.0,0.51%,3600000.0,0.21%,1497000.0,0.7%,,,,,,,,,,,,,,,,,,,870000.0,0.24%,,,,
2026-06-03,00403A 主動統一升級50,191556719484,17615519000,10.87,14200000,17.98%,79700000,5.43%,3250000,4.84%,8960000,4.68%,1350000,3.4%,12101000,3.9%,4700000,3.4%,2250000,2.88%,2060000,2.78%,790000,2.31%,930000,1.3%,36000000.0,3.34%,710000,2.19%,45000,0.42%,8760000,3.75%,1150000,1.38%,16350000,1.38%,3550000,1.68%,9911000,0.87%,5492000,1.46%,830000.0,1.69%,1240000,1.66%,,,840000,1.12%,165000,0.71%,279000.0,1.1%,1169000,0.67%,390000,0.73%,1800000,0.48%,680000,0.52%,900000,0.4%,1200000,1.06%,,,430000,1.03%,680000,1%,1710000,0.55%,,,,,5000000,0.72%,900000,0.38%,,,78000,0.03%,1050000,2.49%,830000,0.89%,1200000,0.4%,957000,0.26%,570000,0.62%,1100000.0,0.09%,1010000.0,0.19%,450000,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000.0,0.52%,1380000.0,0.53%,1600000.0,0.09%,1497000.0,0.74%,,,,,,,,,,,,,,,,,,,870000.0,0.23%,,,,
2026-06-02,00403A 主動統一升級50,191408327724,17797019000,10.76,14200000,17.66%,79700000,5.89%,3250000,4.58%,8960000,4.56%,1350000,3.43%,12101000,3.73%,4700000,3.13%,2250000,2.77%,1950000,2.47%,790000,2.26%,1163000,1.71%,34800000.0,3.35%,655000,1.89%,50000,0.47%,8760000,3.87%,1150000,1.32%,16350000,1.5%,3550000,1.6%,9911000,0.89%,5492000,1.49%,830000.0,1.73%,1160000,1.58%,,,840000,1.06%,165000,0.7%,279000.0,1.05%,1169000,0.64%,390000,0.72%,2300000,0.61%,680000,0.49%,900000,0.4%,1020000,0.85%,,,430000,1.02%,680000,0.91%,1710000,0.56%,,,1000.0,0%,5000000,0.73%,900000,0.39%,,,78000,0.03%,1050000,2.48%,830000,0.82%,1200000,0.39%,957000,0.26%,570000,0.65%,1100000.0,0.08%,1010000.0,0.19%,450000,0.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000.0,0.19%,1380000.0,0.54%,,,1497000.0,0.74%,,,,,,,,,,,,,,,,,,,870000.0,0.23%,,,,
2026-06-01,00403A 主動統一升級50,193508927354,17817019000,10.86,14200000,17.28%,79700000,6.01%,3250000,4.68%,8960000,4.86%,1350000,3.54%,12101000,3.76%,4700000,3.22%,2250000,2.81%,1950000,2.53%,790000,2.25%,1163000,1.66%,34000000.0,2.95%,655000,1.92%,50000,0.48%,8760000,3.58%,1285000,1.41%,15350000,1.33%,3550000,1.66%,9911000,0.92%,5492000,1.56%,770000.0,1.53%,1160000,1.6%,,,840000,1.12%,165000,0.74%,279000.0,1.08%,1169000,0.63%,390000,0.66%,2300000,0.62%,680000,0.49%,900000,0.4%,1020000,0.9%,1000.0,0%,430000,1.03%,680000,0.94%,1710000,0.59%,,,1000.0,0%,5000000,0.74%,900000,0.4%,,,78000,0.03%,1050000,2.47%,830000,0.81%,1200000,0.4%,957000,0.26%,570000,0.62%,2510000.0,0.2%,1010000.0,0.2%,450000,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380000.0,0.55%,,,1497000.0,0.73%,,,,,,,,,,,,,,,,,,,870000.0,0.23%,,,,
2026-05-29,00403A 主動統一升級50,194504796609,18115019000,10.74,14200000,17.19%,79700000,5.92%,3250000,4.45%,8960000,4.86%,1350000,3.55%,12101000,3.8%,4700000,3.19%,2250000,2.83%,1950000,2.44%,790000,2.21%,1163000,1.54%,33000000.0,2.68%,655000,2.01%,90000,0.88%,8760000,3.32%,1285000,1.38%,15350000,1.31%,3550000,1.55%,9911000,0.86%,5492000,1.45%,770000.0,1.4%,1160000,1.58%,,,840000,1.09%,165000,0.74%,279000.0,1.18%,1169000,0.66%,390000,0.68%,2300000,0.62%,680000,0.48%,900000,0.4%,1020000,0.89%,1000.0,0%,400000,0.96%,680000,0.91%,1710000,0.53%,,,1500000.0,0.22%,5000000,0.79%,784000,0.34%,,,78000,0.03%,1000000,2.22%,830000,0.79%,1200000,0.38%,957000,0.26%,570000,0.57%,2510000.0,0.21%,1010000.0,0.2%,450000,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380000.0,0.52%,,,1497000.0,0.78%,,,,,,,,,,,,,,,,,,,870000.0,0.23%,,,,
2026-05-28,00403A 主動統一升級50,191017295867,18153519000,10.52,14200000,17.06%,79700000,5.92%,3250000,4.39%,8960000,4.81%,1350000,3.57%,12101000,3.97%,4700000,3.21%,2010000,2.51%,1950000,2.49%,760000,1.97%,1163000,1.49%,31560000.0,2.38%,655000,2.03%,155000,1.45%,8760000,3.4%,1285000,1.42%,15350000,1.29%,3550000,1.58%,9911000,0.84%,5492000,1.4%,770000.0,1.41%,1160000,1.51%,,,840000,1.13%,165000,0.79%,219000.0,0.88%,1169000,0.67%,390000,0.71%,2300000,0.59%,680000,0.47%,900000,0.41%,911000,0.73%,1000.0,0%,400000,0.96%,680000,0.94%,1700000,0.49%,,,1500000.0,0.23%,5000000,0.73%,784000,0.35%,,,78000,0.03%,1000000,2.31%,830000,0.82%,1200000,0.38%,957000,0.26%,500000,0.46%,2510000.0,0.19%,1010000.0,0.21%,450000,0.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380000.0,0.49%,,,1310000.0,0.64%,,,,,,,,,,,,,,,,,,,870000.0,0.23%,,,,
2026-05-27,00403A 主動統一升級50,196102166740,18153519000,10.8,14000000,16.42%,79700000,5.83%,3250000,4.47%,8960000,4.93%,1350000,3.65%,12101000,3.96%,4700000,3.3%,2010000,2.58%,1950000,2.61%,760000,1.97%,1163000,1.47%,30560000.0,2.42%,655000,2.13%,155000,1.44%,8760000,3.13%,1285000,1.39%,15350000,1.22%,3550000,1.64%,9911000,0.84%,5492000,1.49%,670000.0,1.25%,1160000,1.55%,,,840000,1.12%,165000,0.82%,166000.0,0.66%,1169000,0.72%,390000,0.66%,2300000,0.61%,680000,0.48%,900000,0.4%,801000,0.67%,3000000.0,0.43%,400000,1.04%,680000,1%,1700000,0.49%,,,1500000.0,0.23%,5000000,0.68%,784000,0.35%,,,78000,0.03%,840000,1.99%,830000,0.86%,1200000,0.38%,957000,0.27%,500000,0.44%,2510000.0,0.19%,1010000.0,0.21%,450000,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380000.0,0.49%,,,1000000.0,0.47%,,,,,,,,,,,,,,,,,,,870000.0,0.22%,,,,
2026-05-26,00403A 主動統一升級50,194472664297,18188519000,10.69,14000000,16.34%,79700000,5.35%,3250000,4.55%,8960000,5%,1350000,3.67%,12101000,3.8%,4650000,3.46%,1823000,2.2%,1950000,2.63%,760000,2.06%,1163000,1.5%,29300000.0,2.12%,625000,2.01%,155000,1.37%,8760000,2.98%,1285000,1.5%,15350000,1.27%,3550000,1.68%,9911000,0.84%,5492000,1.52%,430000.0,0.81%,1160000,1.57%,,,795000,1.02%,165000,0.76%,166000.0,0.67%,1169000,0.75%,390000,0.7%,2300000,0.6%,680000,0.5%,900000,0.42%,751000,0.61%,4300000.0,0.63%,370000,1.01%,650000,1.06%,1700000,0.47%,,,1500000.0,0.23%,5000000,0.67%,784000,0.33%,1000.0,0%,78000,0.03%,632000,1.39%,830000,0.97%,860000,0.3%,957000,0.28%,500000,0.46%,2510000.0,0.19%,1010000.0,0.21%,450000,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800000.0,0.29%,,,,,,,,,,,,,,,,,,,,,,,770000.0,0.2%,,,,
2026-05-25,00403A 主動統一升級50,193486963473,18256019000,10.6,14000000,16.71%,75500000,4.88%,3250000,4.33%,8960000,4.58%,1350000,3.84%,12101000,3.86%,4650000,3.42%,1823000,2.16%,1950000,2.56%,760000,2.2%,1163000,1.49%,29300000.0,1.95%,600000,1.92%,155000,1.42%,8760000,3.13%,1285000,1.58%,14232000,1.12%,3550000,1.62%,9911000,0.86%,5492000,1.5%,430000.0,0.84%,1100000,1.47%,1000.0,0%,795000,1.01%,165000,0.75%,166000.0,0.66%,1130000,0.66%,390000,0.75%,2300000,0.59%,680000,0.5%,900000,0.43%,551000,0.46%,4300000.0,0.66%,330000,0.91%,590000,0.89%,1700000,0.48%,,,2365000.0,0.37%,5000000,0.61%,784000,0.33%,1000.0,0%,78000,0.03%,632000,1.39%,830000,0.88%,860000,0.29%,957000,0.27%,500000,0.45%,2510000.0,0.17%,1010000.0,0.21%,450000,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000.0,0.1%,,,,
2026-05-22,00403A 主動統一升級50,187602733507,18309519000,10.25,14000000,16.83%,75500000,4.59%,3250000,4.41%,8960000,4.63%,1350000,3.6%,11165000,3.34%,4530000,3.21%,1823000,2.04%,1880000,2.48%,760000,2.24%,1163000,1.51%,27300000.0,1.82%,560000,1.8%,155000,1.47%,8559000,2.87%,1285000,1.52%,14232000,1.13%,3550000,1.77%,9911000,0.86%,5492000,1.51%,430000.0,0.84%,1010000,1.38%,1000.0,0%,720000,0.87%,165000,0.77%,166000.0,0.68%,1070000,0.67%,350000,0.68%,2300000,0.6%,680000,0.49%,900000,0.42%,551000,0.43%,4300000.0,0.64%,285000,0.78%,460000,0.66%,1700000,0.47%,,,2365000.0,0.36%,5000000,0.57%,784000,0.33%,1601000.0,0.33%,78000,0.03%,632000,1.3%,760000,0.76%,860000,0.29%,957000,0.27%,500000,0.48%,2510000.0,0.18%,1010000.0,0.2%,300000,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000.0,0.1%,,,,
2026-05-21,00403A 主動統一升級50,182729438683,18314519000,9.98,14000000,17.09%,75500000,4.79%,3140000,4.29%,8520000,4.22%,1350000,3.46%,9940000,2.77%,4390000,3.09%,1823000,2.03%,1880000,2.55%,725000,2.12%,1163000,1.49%,27300000.0,1.7%,560000,1.73%,155000,1.39%,7801000,2.44%,1285000,1.52%,14232000,1.1%,3100000,1.48%,9911000,0.89%,5400000,1.39%,430000.0,0.78%,915000,1.26%,6985000.0,0.3%,630000,0.78%,165000,0.86%,166000.0,0.7%,1040000,0.61%,305000,0.59%,2300000,0.61%,680000,0.5%,900000,0.42%,551000,0.4%,4300000.0,0.61%,223000,0.62%,320000,0.45%,1700000,0.46%,,,2365000.0,0.38%,5000000,0.61%,784000,0.34%,1601000.0,0.31%,78000,0.03%,222000,0.43%,680000,0.66%,860000,0.28%,957000,0.25%,500000,0.5%,2510000.0,0.18%,1010000.0,0.21%,300000,0.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000.0,0.03%,,,,
2026-05-20,00403A 主動統一升級50,175426976267,18227019000,9.62,14000000,17.44%,73400000,4.52%,2920000,3.89%,8300000,3.89%,1350000,3.38%,9940000,2.7%,4160000,2.93%,1823000,1.99%,1880000,2.52%,680000,1.9%,1163000,1.5%,24600000.0,1.62%,560000,1.81%,155000,1.37%,7750000,2.3%,1285000,1.44%,14232000,1.14%,2655000,1.25%,9911000,0.9%,4850000,1.21%,430000.0,0.74%,850000,1.14%,16001000.0,0.71%,630000,0.74%,140000,0.72%,166000.0,0.66%,1000000,0.57%,270000,0.52%,2100000,0.55%,553000,0.41%,900000,0.42%,551000,0.38%,4300000.0,0.63%,190000,0.5%,320000,0.47%,1700000,0.45%,11801000.0,0.39%,2365000.0,0.38%,4700000,0.58%,784000,0.34%,1601000.0,0.32%,78000,0.03%,155000,0.29%,520000,0.52%,860000,0.28%,957000,0.24%,400000,0.39%,2510000.0,0.19%,1010000.0,0.21%,145000,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,00403A 主動統一升級50,172329791916,17795019000,9.68,13770000,17.62%,73400000,4.81%,2920000,4.05%,8030000,3.81%,1350000,3.55%,9940000,2.72%,4160000,3.1%,1823000,2.03%,1790000,2.48%,650000,1.84%,1163000,1.66%,24600000.0,1.68%,560000,1.86%,155000,1.43%,7400000,2.13%,1285000,1.48%,14232000,1.19%,2655000,1.23%,9911000,0.91%,4500000,1.07%,430000.0,0.77%,780000,1.05%,16001000.0,0.72%,529000,0.63%,140000,0.77%,166000.0,0.64%,970000,0.59%,255000,0.49%,1894000,0.51%,553000,0.43%,900000,0.44%,551000,0.39%,4300000.0,0.64%,145000,0.38%,255000,0.37%,1700000,0.42%,11801000.0,0.38%,2365000.0,0.36%,4700000,0.55%,784000,0.33%,1601000.0,0.33%,851000,0.32%,155000,0.28%,450000,0.45%,860000,0.26%,957000,0.25%,320000,0.33%,2510000.0,0.2%,1010000.0,0.22%,145000,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18,00403A 主動統一升級50,170792907997,17332019000,9.85,13770000,18.06%,67400000,4.38%,2720000,3.84%,7400000,3.54%,1350000,3.59%,9940000,2.97%,3860000,2.83%,1823000,2.16%,1720000,2.51%,650000,1.94%,1163000,1.86%,24600000.0,1.88%,560000,2.01%,155000,1.47%,7100000,2.08%,1285000,1.52%,14232000,1.33%,2655000,1.23%,9911000,0.92%,4045000,0.92%,430000.0,0.82%,710000,0.97%,16001000.0,0.72%,529000,0.68%,140000,0.84%,166000.0,0.65%,970000,0.59%,255000,0.52%,1894000,0.52%,553000,0.45%,900000,0.47%,551000,0.41%,3031000.0,0.46%,145000,0.4%,255000,0.4%,1700000,0.43%,11801000.0,0.38%,2365000.0,0.36%,4000000,0.48%,784000,0.35%,1601000.0,0.34%,851000,0.32%,155000,0.31%,360000,0.38%,860000,0.28%,957000,0.25%,215000,0.22%,2510000.0,0.19%,601000.0,0.13%,145000,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
