排名,股票名稱,狀態,基準日股數,最新日股數,股數增減率(%),持股權重,基準日期,最新日期
[最近一日] 2026-09-17 -> 2026-09-18,,,,,,,,
,--- 股數增加 Top 10 ---,,,,,,,
1,南亞科,持有,1200000,2000000,66.67,0.68%,2026-09-17,2026-09-18
2,景碩,持有,3850000,4000000,3.9,2.15%,2026-09-17,2026-09-18
3,聯電,持有,58000000,60000000,3.45,6.04%,2026-09-17,2026-09-18
4,富世達,持有,760000,762000,0.26,1.13%,2026-09-17,2026-09-18
,,,,,,,,
,--- 股數減少 Top 10 ---,,,,,,,
1,欣銓,持有,700000,1000,-99.86,0%,2026-09-17,2026-09-18
2,力成,持有,5360000,2800000,-47.76,0.51%,2026-09-17,2026-09-18
3,嘉澤,持有,120000,80000,-33.33,0.08%,2026-09-17,2026-09-18
4,台積電,持有,9800000,9700000,-1.02,15.41%,2026-09-17,2026-09-18
,,,,,,,,
,--- 新增股票 (0 檔) ---,,,,,,,
,（無）,,,,,,,
,,,,,,,,
,--- 移除股票 (0 檔) ---,,,,,,,
,（無）,,,,,,,
,,,,,,,,
,,,,,,,,
[最近一周] 2026-09-11 -> 2026-09-18,,,,,,,,
,--- 股數增加 Top 10 ---,,,,,,,
1,川湖,持有,35000,55000,57.14,0.44%,2026-09-11,2026-09-18
2,聯鈞,持有,1100000,1300000,18.18,0.45%,2026-09-11,2026-09-18
3,景碩,持有,3400000,4000000,17.65,2.15%,2026-09-11,2026-09-18
4,聯電,持有,55000000,60000000,9.09,6.04%,2026-09-11,2026-09-18
5,創意,持有,580000,620000,6.9,2.86%,2026-09-11,2026-09-18
6,南電,持有,2640000,2770000,4.92,1.97%,2026-09-11,2026-09-18
7,富世達,持有,760000,762000,0.26,1.13%,2026-09-11,2026-09-18
,,,,,,,,
,--- 股數減少 Top 10 ---,,,,,,,
1,華邦電,持有,1000000,1000,-99.9,0%,2026-09-11,2026-09-18
2,欣銓,持有,700000,1000,-99.86,0%,2026-09-11,2026-09-18
3,嘉澤,持有,200000,80000,-60.0,0.08%,2026-09-11,2026-09-18
4,大立光,持有,600000,280000,-53.33,1.16%,2026-09-11,2026-09-18
5,日月光投控,持有,2000000,1000000,-50.0,0.41%,2026-09-11,2026-09-18
6,力成,持有,5360000,2800000,-47.76,0.51%,2026-09-11,2026-09-18
7,台積電,持有,9800000,9700000,-1.02,15.41%,2026-09-11,2026-09-18
,,,,,,,,
,--- 新增股票 (1 檔) ---,,,,,,,
,南亞科,新增,,2000000,∞,0.68%,2026-09-11,2026-09-18
,,,,,,,,
,--- 移除股票 (0 檔) ---,,,,,,,
,（無）,,,,,,,
,,,,,,,,
,,,,,,,,
[最近一月] 2026-08-21 -> 2026-09-18,,,,,,,,
,--- 股數增加 Top 10 ---,,,,,,,
1,強茂,持有,1000,3000000,299900.0,0.33%,2026-08-21,2026-09-18
2,緯穎,持有,610000,1987956,225.89,2.75%,2026-08-21,2026-09-18
3,川湖,持有,20000,55000,175.0,0.44%,2026-08-21,2026-09-18
4,全新,持有,200000,386000,93.0,0.14%,2026-08-21,2026-09-18
5,光聖,持有,225000,350000,55.56,0.36%,2026-08-21,2026-09-18
6,南亞,持有,9000000,13500000,50.0,2.07%,2026-08-21,2026-09-18
7,富世達,持有,700000,762000,8.86,1.13%,2026-08-21,2026-09-18
8,貿聯-KY,持有,1200000,1293000,7.75,1.85%,2026-08-21,2026-09-18
9,台燿,持有,1800000,1900000,5.56,1.68%,2026-08-21,2026-09-18
10,南電,持有,2640000,2770000,4.92,1.97%,2026-08-21,2026-09-18
,,,,,,,,
,--- 股數減少 Top 10 ---,,,,,,,
1,華邦電,持有,15000000,1000,-99.99,0%,2026-08-21,2026-09-18
2,旺宏,持有,4500000,1000,-99.98,0%,2026-08-21,2026-09-18
3,欣銓,持有,700000,1000,-99.86,0%,2026-08-21,2026-09-18
4,日月光投控,持有,8000000,1000000,-87.5,0.41%,2026-08-21,2026-09-18
5,金居,持有,800000,100000,-87.5,0.03%,2026-08-21,2026-09-18
6,嘉澤,持有,525000,80000,-84.76,0.08%,2026-08-21,2026-09-18
7,大立光,持有,626000,280000,-55.27,1.16%,2026-08-21,2026-09-18
8,中砂,持有,393000,191000,-51.4,0.11%,2026-08-21,2026-09-18
9,力成,持有,5360000,2800000,-47.76,0.51%,2026-08-21,2026-09-18
10,長興,持有,2500000,1500000,-40.0,0.07%,2026-08-21,2026-09-18
,,,,,,,,
,--- 新增股票 (4 檔) ---,,,,,,,
,國泰金,新增,,4000000,∞,0.29%,2026-08-21,2026-09-18
,京元電子,新增,,2600000,∞,0.49%,2026-08-21,2026-09-18
,南亞科,新增,,2000000,∞,0.68%,2026-08-21,2026-09-18
,光寶科,新增,,300000,∞,0.05%,2026-08-21,2026-09-18
,,,,,,,,
,--- 移除股票 (3 檔) ---,,,,,,,
,世界,移除,1000,,-100.0,,2026-08-21,2026-09-18
,臻鼎-KY,移除,500000,,-100.0,,2026-08-21,2026-09-18
,譜瑞-KY,移除,500000,,-100.0,,2026-08-21,2026-09-18
