date,etf_name,nav_value,已發行受益權單位總數,每受益權單位淨資產價值(元),台積電股數,台積電持股權重,聯電股數,聯電持股權重,奇鋐股數,奇鋐持股權重,欣興股數,欣興持股權重,台光電股數,台光電持股權重,日月光投控股數,日月光投控持股權重,金像電股數,金像電持股權重,台達電股數,台達電持股權重,智邦股數,智邦持股權重,緯穎股數,緯穎持股權重,群聯股數,群聯持股權重,華邦電股數,華邦電持股權重,旺矽股數,旺矽持股權重,信驊股數,信驊持股權重,國巨*股數,國巨*持股權重,貿聯-KY股數,貿聯-KY持股權重,旺宏股數,旺宏持股權重,南電股數,南電持股權重,世界股數,世界持股權重,臻鼎-KY股數,臻鼎-KY持股權重,健策股數,健策持股權重,嘉澤股數,嘉澤持股權重,國泰金股數,國泰金持股權重,致茂股數,致茂持股權重,穎崴股數,穎崴持股權重,鴻勁股數,鴻勁持股權重,高力股數,高力持股權重,力旺股數,力旺持股權重,健鼎股數,健鼎持股權重,勤誠股數,勤誠持股權重,辛耘股數,辛耘持股權重,台燿股數,台燿持股權重,華通股數,華通持股權重,創意股數,創意持股權重,聯亞股數,聯亞持股權重,金居股數,金居持股權重,中信金股數,中信金持股權重,文曄股數,文曄持股權重,頎邦股數,頎邦持股權重,譜瑞-KY股數,譜瑞-KY持股權重,順達股數,順達持股權重,中砂股數,中砂持股權重,聯發科股數,聯發科持股權重,光聖股數,光聖持股權重,華星光股數,華星光持股權重,穩懋股數,穩懋持股權重,富世達股數,富世達持股權重,強茂股數,強茂持股權重,上銀股數,上銀持股權重,全新股數,全新持股權重,京元電子股數,京元電子持股權重,精測股數,精測持股權重,欣銓股數,欣銓持股權重,萬潤股數,萬潤持股權重,高技股數,高技持股權重,漢唐股數,漢唐持股權重,大立光股數,大立光持股權重,華碩股數,華碩持股權重,南茂股數,南茂持股權重,亞德客-KY股數,亞德客-KY持股權重,台表科股數,台表科持股權重,矽力*-KY股數,矽力*-KY持股權重,精成科股數,精成科持股權重,新日興股數,新日興持股權重,優群股數,優群持股權重,中鋼股數,中鋼持股權重,東陽股數,東陽持股權重,世芯-KY股數,世芯-KY持股權重,富喬股數,富喬持股權重,美律股數,美律持股權重,鴻海股數,鴻海持股權重,景碩股數,景碩持股權重,南亞股數,南亞持股權重,環球晶股數,環球晶持股權重,雙鴻股數,雙鴻持股權重,台灣大股數,台灣大持股權重,台化股數,台化持股權重,亞翔股數,亞翔持股權重,南亞科股數,南亞科持股權重,聖暉*股數,聖暉*持股權重,台玻股數,台玻持股權重,川湖股數,川湖持股權重,玉山金股數,玉山金持股權重
2026-05-19,00981A 主動統一台股增長,249920948526,9090709000,27.49,11657000,10.28%,66190000,2.99%,4925000,4.71%,10822000,3.54%,4723000,8.57%,14998000,2.83%,7018000,3.61%,6572000,5.04%,6231000,5.96%,2294000,4.49%,,,,,2169000,4.97%,422000,2.69%,18313000,3.64%,4703848,3.75%,,,12658000,4.04%,1000,0%,,,2267000,2.8%,260000,0.24%,,,,,442000,1.68%,,,1034000,0.43%,,,,,1967000,1.04%,,,4151000,2.03%,4124000,0.42%,96000,0.17%,,,1980000,0.34%,,,1200000,0.13%,1000,0%,1036000,0.3%,,,,,4263000,5.38%,,,,,,,1761000,1.25%,3654000,0.2%,,,,,12919000,1.49%,930000,1.29%,7772000,0.67%,1224000,0.55%,3528000,0.54%,1394000,0.57%,329000,0.44%,1622000,0.42%,11334000,0.35%,530000,0.3%,3734000,0.32%,1038000,0.2%,3988000,0.15%,1741000,0.14%,874000,0.07%,5163000,0.04%,511000,0.02%,1000,0%,107000,0%,18000,0%,1000,0%,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18,00981A 主動統一台股增長,256090924598,9088209000,28.18,11657000,10.2%,63190000,2.74%,4925000,4.63%,10822000,3.45%,4723000,8.38%,14998000,2.99%,7018000,3.43%,6572000,5.18%,6231000,6.07%,2294000,4.56%,,,,,2169000,5.2%,483000,3.05%,18313000,3.58%,4703848,3.72%,,,12658000,3.91%,1000,0%,,,2267000,2.89%,,,,,,,442000,1.77%,,,1034000,0.42%,,,,,1967000,1.06%,,,4151000,2.04%,4124000,0.42%,107000,0.2%,,,1980000,0.33%,,,1200000,0.12%,1000,0%,1036000,0.31%,,,,,4263000,5.66%,,,,,,,1761000,1.19%,3654000,0.18%,,,,,12919000,1.49%,930000,1.35%,9030000,0.81%,1224000,0.54%,3528000,0.52%,1394000,0.55%,329000,0.42%,1703000,0.42%,11334000,0.36%,530000,0.3%,3734000,0.31%,1038000,0.21%,3988000,0.14%,1741000,0.14%,874000,0.06%,5163000,0.04%,511000,0.02%,1000,0%,107000,0%,18000,0%,1000,0%,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-15,00981A 主動統一台股增長,257218842106,9078209000,28.33,11657000,10.26%,56167000.0,2.4%,4925000,4.7%,10822000,3.45%,4723000,8.47%,14998000,3.19%,7018000,3.52%,6572000,5.3%,6231000,6.07%,2294000,4.56%,,,,,2169000,4.97%,483000,3.23%,18313000,3.24%,4703848,3.83%,,,12658000,3.87%,1000.0,0%,,,2267000,3.05%,,,,,,,442000,1.68%,,,1034000,0.42%,,,,,1967000,1.08%,,,4151000,2.11%,4124000,0.38%,107000.0,0.2%,,,1980000,0.3%,,,1200000.0,0.13%,1000.0,0%,1036000.0,0.32%,,,,,4263000,5.4%,,,,,,,1761000,1.19%,3654000.0,0.17%,,,,,12919000,1.5%,930000,1.35%,9030000.0,0.79%,1224000.0,0.54%,3528000.0,0.54%,1394000,0.54%,329000.0,0.44%,1703000,0.42%,11334000.0,0.36%,530000.0,0.3%,2500000.0,0.21%,940000.0,0.17%,3988000,0.14%,1741000,0.13%,874000,0.06%,5163000,0.04%,511000,0.02%,1000,0%,107000,0%,18000,0%,1000.0,0%,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-14,00981A 主動統一台股增長,268331786606,9078209000,29.56,11657000,9.86%,46374000.0,1.87%,4925000,4.69%,10822000,3.55%,4723000,8.66%,14998000,3.06%,7018000,3.74%,6572000,5.28%,6231000,6.21%,2294000,4.65%,,,,,2169000,5.08%,483000,3.21%,18313000,3.15%,4703848,3.94%,8000.0,0%,12658000,4%,1000.0,0%,,,2267000,2.84%,,,,,,,442000,1.74%,,,1034000,0.41%,,,,,1967000,1.07%,,,4151000,2.24%,4124000,0.38%,618000.0,1.17%,,,1980000,0.32%,,,1200000.0,0.12%,1000.0,0%,1036000.0,0.32%,,,,,4263000,5.41%,,,,,,,1761000,1.17%,3654000.0,0.16%,,,,,12919000,1.43%,930000,1.44%,9030000.0,0.77%,1224000.0,0.52%,3528000.0,0.54%,1394000,0.55%,329000.0,0.38%,1996000,0.51%,11334000.0,0.35%,530000.0,0.29%,2500000.0,0.21%,940000.0,0.18%,3988000,0.14%,1741000,0.13%,874000,0.06%,5163000,0.04%,511000,0.02%,89000,0.16%,107000,0%,18000,0%,1000.0,0%,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,00981A 主動統一台股增長,267292969230,9119209000,29.31,11657000,9.68%,46374000.0,1.71%,4813000,4.65%,10822000,3.61%,4605000,8.49%,14998000,3.07%,7018000,3.54%,6572000,5.32%,6231000,5.68%,2294000,4.79%,,,,,2169000,4.64%,483000,3.22%,18313000,2.88%,4703848,4.4%,8000.0,0%,12658000,4.17%,1000.0,0%,,,2267000,2.99%,,,,,,,442000,1.63%,,,1034000,0.4%,,,,,1967000,1.12%,,,4151000,2.25%,4124000,0.37%,764000.0,1.52%,,,1980000,0.34%,,,1200000.0,0.13%,1000.0,0%,1036000.0,0.31%,,,,,4263000,5.57%,,,,,,,1761000,1.21%,3654000.0,0.17%,,,,,12919000,1.47%,930000,1.31%,9030000.0,0.78%,1224000.0,0.56%,3228000.0,0.45%,1394000,0.53%,159000.0,0.17%,1996000,0.5%,11334000.0,0.36%,530000.0,0.29%,,,940000.0,0.16%,3988000,0.14%,1741000,0.13%,874000,0.06%,5163000,0.04%,511000,0.02%,89000,0.16%,107000,0%,18000,0%,1000.0,0%,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,00981A 主動統一台股增長,272935897029,9129209000,29.9,11657000,9.63%,46374000.0,1.78%,4468000,4.13%,10822000,3.47%,4605000,8.27%,14998000,3.05%,8260000,4.21%,6572000,5.29%,6231000,5.76%,2294000,4.87%,,,,,2084000,4.18%,483000,3.19%,17221000,2.65%,4703848,4.78%,8000.0,0%,12658000,4.17%,1000.0,0%,,,2267000,3.26%,,,,,,,442000,1.61%,,,1034000,0.4%,,,,,1967000,1.12%,,,4151000,2.21%,4124000,0.39%,764000.0,1.56%,,,1980000,0.35%,,,1200000.0,0.12%,1000.0,0%,1036000.0,0.29%,,,,,4463000,6.05%,,,,,,,1761000,1.19%,3654000.0,0.15%,,,,,12919000,1.42%,930000,1.32%,9030000.0,0.76%,1224000.0,0.55%,3228000.0,0.45%,1394000,0.51%,159000.0,0.16%,1996000,0.49%,11334000.0,0.36%,530000.0,0.3%,,,940000.0,0.16%,3988000,0.14%,1741000,0.13%,874000,0.06%,5163000,0.03%,511000,0.01%,296000,0.58%,107000,0%,18000,0%,3612000.0,0.33%,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,00981A 主動統一台股增長,275083119145,9228209000,29.81,11359000,9.23%,46374000.0,1.6%,4351000,4.04%,10387000,3.25%,4605000,8.12%,13833000,2.7%,8260000,4.2%,6572000,5.36%,6231000,5.87%,2047000,3.97%,,,,,2084000,3.78%,483000,3.13%,17221000,2.45%,4703848,4.97%,8000.0,0%,12658000,4.18%,1000.0,0%,,,2267000,3.31%,,,,,,,442000,1.62%,,,1034000,0.4%,,,,,1967000,1.11%,,,4151000,2.2%,2624000,0.23%,764000.0,1.59%,,,1980000,0.33%,,,1200000.0,0.12%,1000.0,0%,1036000.0,0.28%,,,,,4463000,6.29%,,,,,,,1761000,1.28%,3654000.0,0.14%,,,,,12919000,1.41%,930000,1.28%,9030000.0,0.74%,1224000.0,0.49%,3228000.0,0.46%,1394000,0.52%,,,1996000,0.5%,11334000.0,0.37%,530000.0,0.3%,,,940000.0,0.16%,3988000,0.14%,1741000,0.13%,874000,0.06%,5163000,0.03%,511000,0.02%,296000,0.58%,107000,0%,18000,0%,14177000.0,1.3%,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,00981A 主動統一台股增長,266016459248,9233209000,28.81,11359000,9.78%,46374000.0,1.59%,4202000,3.86%,10387000,3.19%,4605000,8.22%,13833000,2.68%,8260000,4.13%,6572000,5.44%,6231000,5.56%,2047000,4%,,,,,2054000,3.88%,483000,3.08%,17221000,2.52%,4703848,4.86%,8000.0,0%,12658000,4.06%,1000.0,0%,,,2267000,3.11%,,,,,,,422000,1.53%,,,1034000,0.39%,,,,,1540000,0.82%,,,4151000,2.14%,2624000,0.25%,764000.0,1.5%,,,1980000,0.34%,,,,,1000.0,0%,486000.0,0.12%,,,,,4463000,6.09%,,,,,,,1761000,1.31%,3654000.0,0.14%,,,,,12919000,1.51%,930000,1.25%,9030000.0,0.76%,1224000.0,0.49%,3228000.0,0.47%,1394000,0.53%,,,1996000,0.49%,11334000.0,0.39%,530000.0,0.3%,,,660000.0,0.11%,3988000,0.14%,1741000,0.13%,874000,0.06%,5163000,0.04%,511000,0.02%,296000,0.54%,107000,0%,18000,0%,14177000.0,1.33%,3744000.0,0.64%,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,00981A 主動統一台股增長,272698601290,9214709000,29.59,11359000,9.62%,46374000.0,1.64%,4082000,3.61%,10387000,3.41%,4605000,8.38%,13833000,2.74%,8260000,4.39%,6572000,5.49%,6231000,5.85%,1819000,3.26%,,,,,1922000,3.55%,483000,3.17%,17221000,2.35%,4703848,4.8%,8000.0,0%,12658000,4.4%,63000.0,0%,,,2267000,3.22%,,,,,,,422000,1.53%,,,1034000,0.41%,,,,,1540000,0.73%,,,4151000,2.2%,2624000,0.24%,764000.0,1.53%,,,5558000,0.96%,,,,,7985000.0,0.56%,386000.0,0.09%,,,,,4463000,5.6%,,,,,,,1761000,1.24%,3654000.0,0.14%,,,,,12919000,1.61%,930000,1.27%,9030000.0,0.82%,1224000.0,0.51%,3228000.0,0.48%,1093000,0.4%,,,1996000,0.47%,11334000.0,0.41%,530000.0,0.29%,,,660000.0,0.1%,3988000,0.15%,1741000,0.14%,874000,0.06%,5163000,0.04%,511000,0.01%,296000,0.52%,107000,0%,18000,0%,14177000.0,1.32%,5360000.0,0.97%,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,00981A 主動統一台股增長,269664027344,9211709000,29.27,11157000,9.31%,46374000.0,1.57%,4082000,3.69%,10387000,3.3%,4605000,8.45%,11259000,2.19%,8260000,4.43%,6218000,5.1%,6231000,5.74%,1819000,3.35%,,,,,1922000,3.53%,483000,3.35%,17221000,2.16%,4703848,4.79%,3056000.0,0.19%,12658000,4.41%,63000.0,0%,,,2267000,3.62%,,,,,,,422000,1.59%,,,1034000,0.45%,,,,,1340000,0.66%,,,3778000,1.84%,2624000,0.24%,616000.0,1.13%,,,5558000,0.95%,,,,,7985000.0,0.52%,386000.0,0.08%,,,,,4463000,5.68%,,,,,,,1761000,1.23%,3654000.0,0.14%,,,,,12919000,1.57%,930000,1.31%,8608000.0,0.72%,1224000.0,0.55%,3228000.0,0.49%,1093000,0.4%,,,975000,0.23%,468000.0,0.02%,530000.0,0.28%,,,660000.0,0.1%,3988000,0.15%,1741000,0.13%,874000,0.06%,5163000,0.04%,511000,0.01%,296000,0.5%,107000,0%,18000,0%,14177000.0,1.32%,5360000.0,0.96%,,,,,,,,,,,,,,,,,,,,,,
