date,etf_name,nav_value,已發行受益權單位總數,每受益權單位淨資產價值(元),台積電持股權重,台光電持股權重
2026-04-22,00981A 主動統一台股增長,183302500831,6957209000,26.35,9.02%,7.24%
2026-04-21,00981A 主動統一台股增長,168892813751,6585709000,25.65,8.55%,7.15%
2026-04-20,00981A 主動統一台股增長,153527046424,6154709000,24.94,8.67%,7.46%
2026-04-17,00981A 主動統一台股增長,144742808435,5816709000,24.88,9.01%,7.98%
2026-04-16,00981A 主動統一台股增長,136344191094,5638709000,24.18,9.34%,8.42%
2026-04-15,00981A 主動統一台股增長,129604959884,5506209000,23.54,9.53%,8.16%
2026-04-14,00981A 主動統一台股增長,123308354588,5372209000,22.95,9.4%,7.71%
2026-04-13,00981A 主動統一台股增長,121142817452,5250209000,23.07,9.11%,8.08%
2026-04-10,00981A 主動統一台股增長,116247378352,5150209000,22.57,9.28%,7.92%
2026-04-09,00981A 主動統一台股增長,113486634033,5130209000,22.12,9.33%,7.99%
2026-04-08,00981A 主動統一台股增長,106340149094,5123709000,20.75,9.49%,7.62%
2026-04-07,00981A 主動統一台股增長,103524649556,5135209000,20.16,9.49%,7.55%
2026-04-02,00981A 主動統一台股增長,106257420163,5145209000,20.65,9.48%,7.56%
2026-04-01,00981A 主動統一台股增長,99821564176,5147209000,19.39,9.57%,7.02%
2026-03-31,00981A 主動統一台股增長,99886427042,4880209000,20.47,8.95%,7.35%
2026-03-30,00981A 主動統一台股增長,98953918008,4757709000,20.8,8.96%,7.75%
2026-03-27,00981A 主動統一台股增長,97763869743,4682709000,20.88,9.17%,7.94%
2026-03-26,00981A 主動統一台股增長,97258587821,4674209000,20.81,9.24%,7.71%
2026-03-25,00981A 主動統一台股增長,92791554681,4664709000,19.89,9.51%,7.4%
2026-03-24,00981A 主動統一台股增長,94266335975,4643709000,20.3,8.61%,7.4%
2026-03-23,00981A 主動統一台股增長,93824460628,4470709000,20.99,8.64%,7.27%
2026-03-20,00981A 主動統一台股增長,91253421358,4348709000,20.98,8.66%,7.69%
2026-03-19,00981A 主動統一台股增長,88741167609,4257709000,20.84,9.17%,7.38%
2026-03-18,00981A 主動統一台股增長,84499660672,4160709000,20.31,9.44%,7.75%
2026-03-17,00981A 主動統一台股增長,83429731088,4139209000,20.16,8.79%,7.52%
2026-03-16,00981A 主動統一台股增長,81756951514,4052709000,20.17,8.89%,7.98%
2026-03-13,00981A 主動統一台股增長,81544709820,4039709000,20.19,9%,7.69%
2026-03-12,00981A 主動統一台股增長,81404109863,4052709000,20.09,9.28%,7.26%
2026-03-11,00981A 主動統一台股增長,77375507797,4067709000,19.02,9.31%,7.4%
2026-03-10,00981A 主動統一台股增長,74459564247,4066209000,18.31,9.21%,6.59%
2026-03-09,00981A 主動統一台股增長,72847966850,3699209000,19.69,8.87%,7.05%
2026-03-06,00981A 主動統一台股增長,71626320020,3679209000,19.47,9.07%,6.96%
2026-03-05,00981A 主動統一台股增長,67333760383,3630209000,18.55,9.23%,5.88%
2026-03-04,00981A 主動統一台股增長,67388660078,3432209000,19.63,8.82%,6.23%
2026-03-03,00981A 主動統一台股增長,66323831583,3321209000,19.97,9.15%,6.49%
2026-03-02,00981A 主動統一台股增長,65292314459,3246709000,20.11,9.14%,6.76%
2026-02-26,00981A 主動統一台股增長,64410649419,3225209000,19.97,9.36%,6.8%
2026-02-25,00981A 主動統一台股增長,62216430451,3206709000,19.4,9.45%,6.72%
2026-02-24,00981A 主動統一台股增長,60599104748,3206709000,18.9,9.38%,6.49%
2026-02-23,00981A 主動統一台股增長,60576227712,3199209000,18.93,9.46%,6.55%
2026-02-12,00981A 主動統一台股增長,60576227712,3199209000,18.93,9.46%,6.55%
2026-02-11,00981A 主動統一台股增長,59905552254,3199209000,18.73,9.39%,6.36%
2026-02-10,00981A 主動統一台股增長,58730751321,3199209000,18.36,9.25%,6.41%
2026-02-09,00981A 主動統一台股增長,57021774431,3199209000,17.82,9.34%,6.11%
2026-02-06,00981A 主動統一台股增長,55930630809,3089709000,18.1,9.19%,5.85%
2026-02-05,00981A 主動統一台股增長,56468755644,3035209000,18.6,9.21%,5.64%
2026-02-04,00981A 主動統一台股增長,55757632514,3035209000,18.37,9.4%,5.19%
2026-02-03,00981A 主動統一台股增長,53221179160,3012209000,17.67,9.66%,5.05%
2026-02-02,00981A 主動統一台股增長,53762134092,3012209000,17.85,9.62%,4.39%
2026-01-30,00981A 主動統一台股增長,54155841450,2984209000,18.15,9.71%,4.47%
2026-01-29,00981A 主動統一台股增長,54944285729,2984209000,18.41,9.65%,4.68%
2026-01-28,00981A 主動統一台股增長,53332263383,2941709000,18.13,9.72%,4.61%
2026-01-27,00981A 主動統一台股增長,52568316653,2948209000,17.83,9.73%,4.48%
2026-01-26,00981A 主動統一台股增長,52496482795,2953209000,17.78,9.82%,4.64%
2026-01-23,00981A 主動統一台股增長,51775657218,2962209000,17.48,9.9%,4.33%
2026-01-22,00981A 主動統一台股增長,50333938350,2994209000,16.81,10.28%,4.19%
2026-01-21,00981A 主動統一台股增長,51518177656,2999709000,17.17,10.56%,4.7%
2026-01-20,00981A 主動統一台股增長,51558459979,3035209000,16.99,10.46%,4.59%
2026-01-19,00981A 主動統一台股增長,52440244458,3056709000,17.16,10.17%,4.65%
2026-01-16,00981A 主動統一台股增長,52262227352,3084709000,16.94,9.91%,4.5%
2026-01-15,00981A 主動統一台股增長,53004178209,3095209000,17.12,9.89%,4.97%
2026-01-14,00981A 主動統一台股增長,52582801134,3129709000,16.8,10.12%,4.91%
2026-01-13,00981A 主動統一台股增長,52908066325,3144709000,16.82,9.94%,4.8%
2026-01-12,00981A 主動統一台股增長,52451034275,3145709000,16.67,9.97%,4.71%
2026-01-09,00981A 主動統一台股增長,52307619877,3126209000,16.73,10.02%,4.66%
2026-01-08,00981A 主動統一台股增長,52503289206,3113709000,16.86,9.93%,4.75%
2026-01-07,00981A 主動統一台股增長,52818072556,3077209000,17.16,10.05%,6.33%
2026-01-06,00981A 主動統一台股增長,51787016094,3077209000,16.83,10.24%,6.17%
2026-01-05,00981A 主動統一台股增長,51355525037,3070709000,16.72,9.8%,6.43%
2026-01-02,00981A 主動統一台股增長,50347064363,2978709000,16.9,9.69%,6.66%
2025-12-31,00981A 主動統一台股增長,49692515952,2958209000,16.8,9.62%,6.74%
2025-12-30,00981A 主動統一台股增長,49757085627,2954709000,16.84,9.67%,6.86%
2025-12-29,00981A 主動統一台股增長,49081834279,2934209000,16.73,9.68%,6.81%
